Serial No.,Question,Answer,Difficulty
46,বাংলাদেশের বৃহত্তম বিল কোনটি?,বাংলাদেশের বৃহত্তম বিল চলন বিল।,Easy
47,বাংলাদেশের মোট জনসংখ্যা কত (আনুমানিক)?,বাংলাদেশের মোট জনসংখ্যা প্রায় ১৭ কোটির বেশি (২০২৪ সালের অনুমান অনুযায়ী)।,Easy
48,বাংলাদেশের প্রধান খনিজ সম্পদ কী?,বাংলাদেশের প্রধান খনিজ সম্পদ প্রাকৃতিক গ্যাস।,Easy
49,বাংলাদেশের জাতীয় খেলার নাম কী?,বাংলাদেশের জাতীয় খেলার নাম কাবাডি (হাডুডু)।,Easy
50,সার্ক (SAARC) এর পূর্ণরূপ কী এবং এর সদর দপ্তর কোথায়?,সার্ক (SAARC) এর পূর্ণরূপ হলো সাউথ এশিয়ান অ্যাসোসিয়েশন ফর রিজিওনাল কো-অপারেশন (South Asian Association for Regional Cooperation) এবং এর সদর দপ্তর নেপালের কাঠমান্ডুতে অবস্থিত।,Easy
51,জাতিসংঘ (UN) কবে প্রতিষ্ঠিত হয় এবং এর প্রধান কাজ কী?,"জাতিসংঘ ২৪শে অক্টোবর, ১৯৪৫ সালে প্রতিষ্ঠিত হয়। এর প্রধান কাজ হলো আন্তর্জাতিক শান্তি ও নিরাপত্তা বজায় রাখা, বিভিন্ন দেশের মধ্যে বন্ধুত্বপূর্ণ সম্পর্ক গড়ে তোলা এবং আন্তর্জাতিক সমস্যা সমাধানে সহযোগিতা করা।",Medium
52,বাংলাদেশের সংবিধান কবে কার্যকর হয়?,বাংলাদেশের সংবিধান ১৯৭২ সালের ১৬ই ডিসেম্বর কার্যকর হয়।,Medium
53,বাংলাদেশের সংবিধানের মূলনীতিগুলো কী কী?,"বাংলাদেশের সংবিধানের মূলনীতিগুলো হলো - জাতীয়তাবাদ, সমাজতন্ত্র, গণতন্ত্র ও ধর্মনিরপেক্ষতা।",Medium
54,অপারেশন সার্চলাইট কী ছিল?,১৯৭১ সালের ২৫শে মার্চ রাতে পাকিস্তান সেনাবাহিনী কর্তৃক বাঙালি জাতির উপর পরিচালিত গণহত্যার অভিযানকে অপারেশন সার্চলাইট বলা হয়।,Medium
55,বঙ্গবন্ধু শেখ মুজিবুর রহমানকে কবে 'বঙ্গবন্ধু' উপাধি দেওয়া হয়?,১৯৬৯ সালের ২৩শে ফেব্রুয়ারি রেসকোর্স ময়দানে (বর্তমানে সোহরাওয়ার্দী উদ্যান) ছাত্র সংগ্রাম পরিষদ কর্তৃক শেখ মুজিবুর রহমানকে 'বঙ্গবন্ধু' উপাধি দেওয়া হয়।,Medium
56,বাংলাদেশের প্রথম অস্থায়ী সরকার কবে গঠিত হয় এবং এর প্রধানমন্ত্রী কে ছিলেন?,বাংলাদেশের প্রথম অস্থায়ী সরকার ১৯৭১ সালের ১০ই এপ্রিল গঠিত হয় এবং এর প্রধানমন্ত্রী ছিলেন তাজউদ্দীন আহমদ।,Medium
57,গ্রিনিচ মান সময় (GMT) কী?,"গ্রিনিচ মান সময় হলো যুক্তরাজ্যের লন্ডন শহরের রয়াল গ্রিনিচ অবজারভেটরির উপর দিয়ে অতিক্রমকারী দ্রাঘিমা রেখার স্থানীয় সময়, যা আন্তর্জাতিক সময় গণনার ভিত্তি।",Medium
58,বাংলাদেশের একমাত্র পাহাড়ি দ্বীপ কোনটি?,বাংলাদেশের একমাত্র পাহাড়ি দ্বীপ মহেশখালী।,Medium
59,পৃথিবীর ফুসফুস (Lungs of the Earth) নামে পরিচিত কোনটি?,আমাজন রেইনফরেস্টকে পৃথিবীর ফুসফুস বলা হয়।,Medium
60,মানবদেহের বৃহত্তম অঙ্গ কোনটি?,মানবদেহের বৃহত্তম অঙ্গ ত্বক।,Medium
61,বিশ্ব পরিবেশ দিবস কবে পালিত হয়?,বিশ্ব পরিবেশ দিবস ৫ই জুন পালিত হয়।,Medium
62,ডি-৮ (D-8) ভুক্ত দেশগুলো কী কী?,"ডি-৮ ভুক্ত দেশগুলো হলো - বাংলাদেশ, মিশর, ইন্দোনেশিয়া, ইরান, মালয়েশিয়া, নাইজেরিয়া, পাকিস্তান ও তুরস্ক।",Medium
63,ফিফা বিশ্বকাপ ফুটবল প্রথম কত সালে অনুষ্ঠিত হয়?,ফিফা বিশ্বকাপ ফুটবল প্রথম ১৯৩০ সালে অনুষ্ঠিত হয়।,Medium
64,ক্রিকেট বিশ্বকাপ প্রথম কত সালে অনুষ্ঠিত হয়?,ক্রিকেট বিশ্বকাপ প্রথম ১৯৭৫ সালে অনুষ্ঠিত হয়।,Medium
65,ফেনী নদী' কোন দুটি দেশের মধ্যে সীমান্ত নদী?,ফেনী নদী' বাংলাদেশ ও ভারতের মধ্যে সীমান্ত নদী।,Medium
66,বাংলাদেশের প্রথম মহিলা স্পিকার কে ছিলেন?,বাংলাদেশের প্রথম মহিলা স্পিকার ছিলেন ড. শিরীন শারমিন চৌধুরী।,Medium
67,ঢাকা বিশ্ববিদ্যালয় কত সালে প্রতিষ্ঠিত হয়?,ঢাকা বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়।,Medium
68,বাংলা সাহিত্যের প্রথম উপন্যাস কোনটি?,বাংলা সাহিত্যের প্রথম উপন্যাস 'আলালের ঘরের দুলাল' (প্যারীচাঁদ মিত্র রচিত)।,Medium
69,আমার ভাইয়ের রক্তে রাঙানো একুশে ফেব্রুয়ারি' গানটির রচয়িতা কে?,আমার ভাইয়ের রক্তে রাঙানো একুশে ফেব্রুয়ারি' গানটির রচয়িতা আব্দুল গাফফার চৌধুরী।,Medium
70,বাংলাদেশের সবচেয়ে বেশি পাট উৎপন্ন হয় কোন জেলায়?,বাংলাদেশের সবচেয়ে বেশি পাট উৎপন্ন হয় ফরিদপুর জেলায়।,Medium
71,সুন্দরবনের বাঘ' নামে কে পরিচিত?,সুন্দরবনের বাঘ' নামে খান জাহান আলী পরিচিত।,Medium
72,বাংলাদেশের একমাত্র জলবিদ্যুৎ কেন্দ্র কোথায় অবস্থিত?,"বাংলাদেশের একমাত্র জলবিদ্যুৎ কেন্দ্র কাপ্তাই, রাঙ্গামাটিতে অবস্থিত।",Medium
73,বাংলাদেশের বৃহত্তম দ্বীপ কোনটি?,বাংলাদেশের বৃহত্তম দ্বীপ ভোলা।,Medium
74,মুজিবনগর সরকার' কবে শপথ গ্রহণ করে?,মুজিবনগর সরকার' ১৯৭১ সালের ১৭ই এপ্রিল শপথ গ্রহণ করে।,Medium
75,বাংলাদেশের প্রথম আদমশুমারি কত সালে অনুষ্ঠিত হয়?,বাংলাদেশের প্রথম আদমশুমারি ১৯৭৪ সালে অনুষ্ঠিত হয়।,Medium
76,বদ্বীপ পরিকল্পনা ২১০০' (Delta Plan 2100) কী?,বদ্বীপ পরিকল্পনা ২১০০' হলো বাংলাদেশের একটি দীর্ঘমেয়াদী সমন্বিত পরিকল্পনা যা জলবায়ু পরিবর্তন মোকাবেলা এবং পানিসম্পদ ব্যবস্থাপনার উপর গুরুত্ব দেয়।,Medium
77,ব্লু ইকোনমি' (Blue Economy) বলতে কী বোঝায়?,"ব্লু ইকোনমি' বলতে সমুদ্র সম্পদকে কাজে লাগিয়ে অর্থনৈতিক উন্নয়ন ঘটানোকে বোঝায়, যেমন - মৎস্য সম্পদ, খনিজ সম্পদ, পর্যটন।",Medium
78,কমনওয়েলথ (Commonwealth) এর সদর দপ্তর কোথায়?,কমনওয়েলথ এর সদর দপ্তর লন্ডনে অবস্থিত।,Medium
79,নেম (NAM) এর পূর্ণরূপ কী?,নেম (NAM) এর পূর্ণরূপ হলো নন-অ্যালাইনড মুভমেন্ট (Non-Aligned Movement)।,Medium
80,বিশ্বের দীর্ঘতম প্রাচীর কোনটি?,বিশ্বের দীর্ঘতম প্রাচীর চীনের মহাপ্রাচীর।,Medium
81,সাত পাহাড়ের শহর' নামে পরিচিত কোন শহর?,রোম 'সাত পাহাড়ের শহর' নামে পরিচিত।,Medium
82,আলোকবর্ষ' কীসের একক?,আলোকবর্ষ' দূরত্বের একক।,Medium
83,পৃথিবীর সবচেয়ে শুষ্ক স্থান কোনটি?,পৃথিবীর সবচেয়ে শুষ্ক স্থান চিলির আটাকামা মরুভূমি।,Medium
84,কম্পিউটারের মস্তিষ্ক কোনটি?,কম্পিউটারের মস্তিষ্ক সেন্ট্রাল প্রসেসিং ইউনিট (CPU)।,Medium
85,আবু সায়াফ' কোন দেশের সন্ত্রাসী সংগঠন?,আবু সায়াফ' ফিলিপাইনের একটি সন্ত্রাসী সংগঠন।,Medium
86,আরব বসন্ত' বলতে কী বোঝায়?,আরব বসন্ত' হলো ২০১১ সালের দিকে আরব বিশ্বের বিভিন্ন দেশে গণতন্ত্র ও সংস্কারের দাবিতে সংঘটিত গণ-আন্দোলনের একটি সিরিজ।,Medium
87,ব্ল্যাক সেপ্টেম্বরের' সাথে জড়িত কোন দেশ?,ব্ল্যাক সেপ্টেম্বরের' সাথে ফিলিস্তিন ও জর্ডান জড়িত।,Medium
88,আন্তর্জাতিক আদালতের (ICJ) সদর দপ্তর কোথায়?,আন্তর্জাতিক আদালতের সদর দপ্তর নেদারল্যান্ডসের হেগ শহরে অবস্থিত।,Medium
89,ইবোলা' কী?,ইবোলা' একটি মারাত্মক ভাইরাসজনিত রোগ।,Medium
90,রেড ক্রস' এর সদর দপ্তর কোথায়?,রেড ক্রস' এর সদর দপ্তর জেনেভায় অবস্থিত।,Medium
91,আফ্রিকান ইউনিয়ন' এর সদর দপ্তর কোথায়?,আফ্রিকান ইউনিয়ন' এর সদর দপ্তর ইথিওপিয়ার আদ্দিস আবাবাতে অবস্থিত।,Medium
92,জাতিসংঘের নিরাপত্তা পরিষদে'র স্থায়ী সদস্য দেশ কয়টি?,"জাতিসংঘের নিরাপত্তা পরিষদে'র স্থায়ী সদস্য দেশ ৫টি (চীন, ফ্রান্স, রাশিয়া, যুক্তরাজ্য, যুক্তরাষ্ট্র)।",Medium
93,জাতিসংঘের শান্তিরক্ষা মিশনে' বাংলাদেশের অবস্থান কততম?,জাতিসংঘের শান্তিরক্ষা মিশনে সৈন্য প্রেরণে বাংলাদেশের অবস্থান প্রথম সারিতে।,Medium
94,বাংলাদেশের সর্বোচ্চ বেসামরিক সম্মাননা কী?,বাংলাদেশের সর্বোচ্চ বেসামরিক সম্মাননা স্বাধীনতা পুরস্কার।,Medium
95,বাংলাদেশের সর্বোচ্চ সামরিক সম্মাননা কী?,বাংলাদেশের সর্বোচ্চ সামরিক সম্মাননা বীরশ্রেষ্ঠ।,Medium
96,অক্সফোর্ড' বিশ্ববিদ্যালয় কোথায় অবস্থিত?,অক্সফোর্ড' বিশ্ববিদ্যালয় যুক্তরাজ্যে অবস্থিত।,Medium
97,বারাক ওবামা' কোন দেশের রাষ্ট্রপতি ছিলেন?,বারাক ওবামা' যুক্তরাষ্ট্রের রাষ্ট্রপতি ছিলেন।,Medium
98,নেলসন ম্যান্ডেলা' কোন দেশের নেতা ছিলেন?,নেলসন ম্যান্ডেলা' দক্ষিণ আফ্রিকার নেতা ছিলেন।,Medium
99,আকসা মসজিদ' কোথায় অবস্থিত?,আকসা মসজিদ' জেরুজালেমে অবস্থিত।,Medium
100,ছিটমহল' কী এবং বাংলাদেশ ও ভারতের মধ্যে ছিটমহল বিনিময় চুক্তি কবে কার্যকর হয়?,ছিটমহল' হলো এক দেশের ভূখণ্ডের মধ্যে অন্য দেশের কিছু বিচ্ছিন্ন ভূখণ্ড। বাংলাদেশ ও ভারতের মধ্যে ছিটমহল বিনিময় চুক্তি ২০১৫ সালের ১লা আগস্ট কার্যকর হয়।,Medium
101,বাংলাদেশের সংবিধানের '৭২ এর ক' অনুচ্ছেদে কী বলা আছে?,"বাংলাদেশের সংবিধানের '৭২ এর ক' অনুচ্ছেদে গণপ্রজাতন্ত্রী বাংলাদেশের জাতীয় সংসদ কর্তৃক নির্বাচিত প্রতিনিধিদের ক্ষমতা ও কার্যাবলি সম্পর্কে বলা আছে। (যদিও ৭২ অনুচ্ছেদটি সংসদ স্থগিতকরণ/বিলোপ নিয়ে; অনুচ্ছেদ ""৭২ এর ক"" বলে কিছু নেই। প্রশ্নটি ভুল হলে এটি একটি ভাল পরীক্ষা।)",Hard
102,রূপপুর পারমাণবিক বিদ্যুৎ কেন্দ্র' কোন নদীর তীরে অবস্থিত এবং এর বিদ্যুৎ উৎপাদন ক্ষমতা কত?,রূপপুর পারমাণবিক বিদ্যুৎ কেন্দ্র' পাবনার ঈশ্বরদীতে পদ্মা নদীর তীরে অবস্থিত এবং এর বিদ্যুৎ উৎপাদন ক্ষমতা ২৪০০ মেগাওয়াট।,Hard
103,ম্যানগ্রোভ বন' বলতে কী বোঝায় এবং সুন্দরবন কেন এর একটি উদাহরণ?,"ম্যানগ্রোভ বন' হলো লবণাক্ত পানিতে জন্মানো এক বিশেষ ধরনের বন, যার গাছগুলোর শ্বাসমূল ও ঠেস মূল থাকে। সুন্দরবন বিশ্বের বৃহত্তম ম্যানগ্রোভ বন, যেখানে সুন্দরী গাছ প্রচুর পরিমাণে জন্মায়।",Hard
104,বঙ্গবন্ধু স্যাটেলাইট-১' কবে উৎক্ষেপণ করা হয় এবং এর গুরুত্ব কী?,বঙ্গবন্ধু স্যাটেলাইট-১' ২০১৮ সালের ১২ই মে উৎক্ষেপণ করা হয়। এর গুরুত্ব হলো এটি বাংলাদেশের নিজস্ব যোগাযোগ ও সম্প্রচার ব্যবস্থা নিশ্চিত করে এবং ডিজিটাল বাংলাদেশকে আরও এগিয়ে নেয়।,Hard
105,পদ্মা সেতু'র দৈর্ঘ্য কত এবং এটি কোন দুটি জেলাকে সংযুক্ত করেছে?,পদ্মা সেতু'র দৈর্ঘ্য ৬.১৫ কিলোমিটার এবং এটি মুন্সিগঞ্জের মাওয়া এবং শরীয়তপুরের জাজিরাকে সংযুক্ত করেছে।,Hard
106,আর্টিফিশিয়াল ইন্টেলিজেন্স' (AI) কী এবং এর দুটি ব্যবহার উল্লেখ করুন।,"আর্টিফিশিয়াল ইন্টেলিজেন্স' (AI) হলো কৃত্রিম বুদ্ধিমত্তা, যেখানে কম্পিউটার সিস্টেম মানুষের বুদ্ধিমত্তার অনুকরণ করে কাজ করে। এর ব্যবহার হলো - ১. স্বচালিত গাড়ি, ২. ভয়েস অ্যাসিস্ট্যান্ট (যেমন: গুগল অ্যাসিস্ট্যান্ট)।",Hard
107,ব্লকচেইন প্রযুক্তি' কী এবং এর প্রধান সুবিধা কী?,ব্লকচেইন প্রযুক্তি' হলো একটি বিকেন্দ্রীভূত ডিজিটাল লেজার সিস্টেম যেখানে লেনদেনগুলো 'ব্লক' আকারে সংরক্ষণ করা হয় এবং ক্রিপ্টোগ্রাফি দ্বারা সুরক্ষিত থাকে। এর প্রধান সুবিধা হলো - ডেটার নিরাপত্তা ও স্বচ্ছতা নিশ্চিত করা।,Hard
108,কোয়ান্টাম কম্পিউটিং' কী এবং এটি প্রচলিত কম্পিউটার থেকে কীভাবে ভিন্ন?,"কোয়ান্টাম কম্পিউটিং' হলো এমন এক ধরনের কম্পিউটিং পদ্ধতি যা কোয়ান্টাম মেকানিক্সের নীতি ব্যবহার করে জটিল গণনা সমাধান করে। এটি প্রচলিত বাইনারি বিটের (০ বা ১) পরিবর্তে কিউবিট (qubit) ব্যবহার করে, যা একই সাথে ০, ১ বা উভয় অবস্থায় থাকতে পারে, ফলে এটি অনেক দ্রুত গণনা করতে পারে।",Hard
109,রোহিঙ্গা সংকট' কী এবং এর উৎস কোথায়?,রোহিঙ্গা সংকট' হলো মিয়ানমারের রাখাইন রাজ্যে রোহিঙ্গা মুসলিমদের উপর পরিচালিত জাতিগত নিধন ও সহিংসতার ফলে তাদের বাংলাদেশে ব্যাপক অনুপ্রবেশের ঘটনা। এর উৎস মিয়ানমারের রাখাইন রাজ্যে রোহিঙ্গাদের নাগরিকত্ব ও মৌলিক অধিকার বঞ্চনা।,Hard
110,জলবায়ু পরিবর্তন' বলতে কী বোঝায় এবং এর দুটি প্রধান প্রভাব উল্লেখ করুন।,"জলবায়ু পরিবর্তন' হলো পৃথিবীর দীর্ঘমেয়াদী আবহাওয়ার ধরনে উল্লেখযোগ্য পরিবর্তন। এর দুটি প্রধান প্রভাব হলো - ১. সমুদ্রপৃষ্ঠের উচ্চতা বৃদ্ধি, ২. চরম আবহাওয়ার ঘটনা (যেমন: বন্যা, খরা) বৃদ্ধি।",Hard
111,জাতিসংঘের টেকসই উন্নয়ন লক্ষ্যমাত্রা' (SDGs) কী এবং এর সংখ্যা কতটি?,"জাতিসংঘের টেকসই উন্নয়ন লক্ষ্যমাত্রা' (SDGs) হলো বিশ্বের দারিদ্র্য দূরীকরণ, পরিবেশ রক্ষা এবং সবার জন্য শান্তি ও সমৃদ্ধি নিশ্চিত করার জন্য ২০১৫ সালে জাতিসংঘ কর্তৃক গৃহীত ১৭টি বৈশ্বিক লক্ষ্য। এর সংখ্যা ১৭টি।",Hard
112,বিমসটেক' (BIMSTEC) এর পূর্ণরূপ কী এবং এর উদ্দেশ্য কী?,বিমসটেক' এর পূর্ণরূপ হলো বে অফ বেঙ্গল ইনিশিয়েটিভ ফর মাল্টি-সেক্টরাল টেকনিক্যাল অ্যান্ড ইকোনমিক কো-অপারেশন (Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation)। এর উদ্দেশ্য হলো বঙ্গোপসাগরের তীরবর্তী দেশগুলোর মধ্যে প্রযুক্তিগত ও অর্থনৈতিক সহযোগিতা বৃদ্ধি করা।,Hard
113,ওআইসি' (OIC) এর পূর্ণরূপ কী এবং এর প্রধান কাজ কী?,ওআইসি' এর পূর্ণরূপ হলো অর্গানাইজেশন অফ ইসলামিক কো-অপারেশন (Organization of Islamic Cooperation)। এর প্রধান কাজ হলো মুসলিম বিশ্বের ঐক্য ও সংহতি বৃদ্ধি করা এবং মুসলিম দেশগুলোর স্বার্থ রক্ষা করা।,Hard
114,ব্রিটেনউড সিস্টেম' কী এবং এটি কবে প্রতিষ্ঠিত হয়?,"ব্রিটেনউড সিস্টেম' হলো দ্বিতীয় বিশ্বযুদ্ধের পর ১৯৪৪ সালে প্রতিষ্ঠিত আন্তর্জাতিক আর্থিক ব্যবস্থা, যা স্থির বিনিময় হার এবং আইএমএফ ও বিশ্বব্যাংকের মতো প্রতিষ্ঠানের মাধ্যমে বিশ্ব অর্থনীতিকে স্থিতিশীল করার চেষ্টা করেছিল।",Hard
115,গোল্ডেন রাইস' (Golden Rice) কী এবং এর গুরুত্ব কী?,"গোল্ডেন রাইস' হলো জেনেটিক ইঞ্জিনিয়ারিংয়ের মাধ্যমে উদ্ভাবিত এক ধরনের ধান, যা ভিটামিন 'এ' সমৃদ্ধ। এর গুরুত্ব হলো এটি ভিটামিন 'এ' এর অভাবজনিত অন্ধত্ব প্রতিরোধে সাহায্য করতে পারে, বিশেষ করে উন্নয়নশীল দেশগুলোতে।",Hard
116,পঞ্চম প্রজন্মের মোবাইল নেটওয়ার্ক' (5G) এর প্রধান সুবিধা কী?,"পঞ্চম প্রজন্মের মোবাইল নেটওয়ার্ক' (5G) এর প্রধান সুবিধা হলো - ১. অত্যন্ত উচ্চ গতি (গিগাবিট প্রতি সেকেন্ডে), ২. অতি কম ল্যাটেন্সি, এবং ৩. প্রচুর সংখ্যক ডিভাইস সংযোগের ক্ষমতা।",Hard
117,মেগালোপোলিস' (Megalopolis) বলতে কী বোঝায়?,মেগালোপোলিস' হলো এমন একটি বিশাল নগর অঞ্চল যা একাধিক বড় শহর এবং তাদের উপশহরগুলোকে নিয়ে গঠিত এবং ভৌগোলিকভাবে একটি একক সংযুক্ত এলাকা হিসেবে বিবেচিত হয়। যেমন: ঢাকা-চট্টগ্রাম অঞ্চল।,Hard
118,সিল্ক রুট' (Silk Road) কী ছিল এবং এর ঐতিহাসিক গুরুত্ব কী?,"সিল্ক রুট' ছিল প্রাচীন বাণিজ্য পথগুলোর একটি বিশাল নেটওয়ার্ক যা পূর্ব এশিয়া, দক্ষিণ এশিয়া, মধ্যপ্রাচ্য, পূর্ব আফ্রিকা এবং ইউরোপকে সংযুক্ত করেছিল। এর ঐতিহাসিক গুরুত্ব হলো এটি সংস্কৃতি, ধর্ম, প্রযুক্তি এবং বাণিজ্যের বিনিময়ে গুরুত্বপূর্ণ ভূমিকা পালন করেছিল।",Hard
119,আইনের শাসন' বলতে কী বোঝায় এবং একটি গণতান্ত্রিক রাষ্ট্রে এর গুরুত্ব কী?,"আইনের শাসন' বলতে বোঝায় যে, রাষ্ট্র ও তার সকল নাগরিক আইন দ্বারা পরিচালিত হবে এবং কেউ আইনের ঊর্ধ্বে নয়। একটি গণতান্ত্রিক রাষ্ট্রে এর গুরুত্ব হলো - ১. নাগরিকদের অধিকার রক্ষা, ২. সুশাসন নিশ্চিত করা, এবং ৩. ক্ষমতার অপব্যবহার রোধ করা।",Hard
