Serial No.,Question,Answer,Difficulty,
108,ক্লাউড কম্পিউটিং এর নিরাপত্তা ঝুঁকিগুলি কী কী?,"ক্লাউড ডেটা ব্রিচ, ডেটা লস, অ্যাক্সেস কন্ট্রোল ইস্যু এবং নেটওয়ার্ক নিরাপত্তা ঝুঁকি।",Hard,
109,তথ্য সুরক্ষা এবং গোপনীয়তা রক্ষায় রেডিনেস ব্যাকআপের ভূমিকা কী?,এটি ডেটা সংরক্ষণ ও পুনরুদ্ধারের প্রক্রিয়া যা তথ্যের নিরাপত্তা নিশ্চিত করে।,Hard,
110,ব্লকচেইন প্রযুক্তি কীভাবে ইন্টারনেটের নিরাপত্তা উন্নত করতে পারে?,এটি একটি বিকেন্দ্রীভূত ডেটাবেস প্রযুক্তি যা ট্রানজেকশনসমূহের স্বচ্ছতা এবং সুরক্ষা নিশ্চিত করে।,Hard,
111,ডেটা এনক্রিপশনের বিভিন্ন ধরনের পদ্ধতি কী কী?,"সিনক্রিপশন, আসিমেট্রিক এনক্রিপশন, এবং হ্যাশিং পদ্ধতি।",Hard,
112,ব্যবসায়িক ইন্টেলিজেন্স কীভাবে সংস্থাগুলির সিদ্ধান্ত গ্রহণ প্রক্রিয়াকে উন্নত করতে সাহায্য করে?,"এটি ডেটা বিশ্লেষণের মাধ্যমে সিদ্ধান্ত গ্রহণে সহায়তা করে, ব্যবসায়িক প্রবণতা এবং বাজারের বিশ্লেষণ করতে সাহায্য করে।",Hard,
113,এআই এবং মেশিন লার্নিং-এ ব্যবহৃত অ্যালগরিদমগুলির মধ্যে পার্থক্য কী?,"এআই বুদ্ধিমত্তা তৈরি করে, আর মেশিন লার্নিং ডেটা থেকে শেখার প্রক্রিয়া।",Hard,
114,কৃত্রিম সাধারণ বুদ্ধিমত্তা (AGI) কী?,এটি একটি কম্পিউটার সিস্টেম যা মানব বুদ্ধিমত্তার মতো কাজ করতে সক্ষম।,Hard,
115,বিশাল ডেটাসেট (Big Data) বিশ্লেষণে প্রধান চ্যালেঞ্জ কী?,"ডেটা পরিষ্করণ, বিশ্লেষণ এবং সঠিক প্রযুক্তির ব্যবহার।",Hard,
116,ডেটাবেস ম্যানেজমেন্ট সিস্টেম (DBMS) এর প্রধান বৈশিষ্ট্য কী?,"এটি ডেটা সুরক্ষা, অ্যাক্সেস কন্ট্রোল, ডেটা পুনরুদ্ধার এবং ডেটা ব্যাকআপ নিশ্চিত করে।",Hard,
117,মালওয়্যার এবং ভাইরাসের মধ্যে পার্থক্য কী?,"মালওয়্যার সাধারণত ক্ষতিকর সফটওয়্যার যা বিভিন্ন ধরণের হতে পারে, এবং ভাইরাস একটি প্রকারের ক্ষতিকর সফটওয়্যার যা অন্য প্রোগ্রামগুলির মধ্যে ছড়িয়ে পড়ে।",Hard,
118,ব্লকচেইন প্রযুক্তিতে 'নোড' এর ভূমিকা কী?,নোড একটি কম্পিউটার বা ডিভাইস যা ব্লকচেইন নেটওয়ার্কে লেনদেন এবং ব্লক যাচাই করতে সহায়ক।,Hard,
119,একটি সফটওয়্যার বিল্ডিং ব্লক কি?,"এটি প্রোগ্রামিং ভাষা, লাইব্রেরি, এবং টুলসের সমন্বয়ে গঠিত থাকে যা সফটওয়্যার তৈরি করতে ব্যবহৃত হয়।",Hard,
120,ব্যক্তিগত তথ্য সুরক্ষা কী?,ব্যক্তিগত ডেটা বা তথ্য চুরি বা অননুমোদিত অ্যাক্সেস থেকে রক্ষা করার পদ্ধতি।,Hard,
121,একটি ডিপ লার্নিং মডেল প্রশিক্ষণ করার জন্য কতটা ডেটা প্রয়োজন?,"ডিপ লার্নিং মডেল প্রশিক্ষণের জন্য প্রচুর পরিমাণ ডেটা প্রয়োজন, যা মডেলটির কার্যকারিতা উন্নত করতে সাহায্য করে।",Hard,
122,মেশিন লার্নিং-এর 'ওভারফিটিং' কী?,"এটি একটি সমস্যা যেখানে মডেলটি প্রশিক্ষণ ডেটাতে খুব ভাল কাজ করে, কিন্তু নতুন ডেটাতে খারাপ পারফর্ম করে।",Hard,
123,নোSQL ডাটাবেস কি?,এটি একটি ডাটাবেস প্রযুক্তি যা রিলেশনাল ডাটাবেস মডেল ছাড়া বিভিন্ন ধরনের ডেটা স্টোর করতে সক্ষম।,Hard,
124,ডেটা সাইন্সে ব্যবহৃত 'পাইথন' কী?,"এটি একটি শক্তিশালী প্রোগ্রামিং ভাষা যা ডেটা বিশ্লেষণ, স্ট্যাটিস্টিক্যাল মডেলিং এবং মেশিন লার্নিংয়ে ব্যবহৃত হয়।",Hard,
125,ফ্রি স্পেস অপটিক্স (FSO) কী?,এটি একটি প্রযুক্তি যা আলো বা অপটিক্যাল লেজার ব্যবহার করে ডেটা ট্রান্সফার করতে সক্ষম।,Hard,
126,ব্যবসায়িক ইনটেলিজেন্সে ব্যবহৃত মডেলগুলি কী কী?,"প্রেডিক্টিভ অ্যানালিটিক্স, ডেটা মিনিং, এবং কনজিউমার ট্রেন্ড অ্যানালাইসিস।",Hard,
127,এআই এর 'কনভল্যুশনাল নিউরাল নেটওয়ার্ক' (CNN) কী?,এটি একটি প্রকারের নিউরাল নেটওয়ার্ক যা ইমেজ এবং ভিডিও বিশ্লেষণে ব্যবহৃত হয়।,Hard,
128,ইন্টারনেট অফ থিংস (IoT) এর নিরাপত্তা চ্যালেঞ্জ কী?,"সেন্সর নিরাপত্তা, ডিভাইস ব্যবস্থাপনা, এবং সাইবার আক্রমণ থেকে রক্ষা।",Hard,
129,একটি ডেটা ওয়্যারহাউস কীভাবে কাজ করে?,"এটি একটি সেন্ট্রালাইজড ডেটাবেস যা বড় পরিমাণে ডেটা সংগ্রহ, সংরক্ষণ এবং বিশ্লেষণ করে।",Hard,
130,নিউরাল নেটওয়ার্কের বেসিক কম্পোনেন্টগুলি কী কী?,"এটি ইনপুট লেয়ার, হিডেন লেয়ার এবং আউটপুট লেয়ার নিয়ে গঠিত।",Hard,
131,ডেটা এনক্রিপশন কীভাবে কাজ করে?,এটি একটি প্রক্রিয়া যা ডেটাকে একটি সুরক্ষিত কোডে রূপান্তরিত করে যাতে তা অপরিচিতদের কাছে পড়তে না পারে।,Hard,
132,মালওয়্যার এবং র্যানসমওয়্যার কী?,"মালওয়্যার একটি ক্ষতিকর সফটওয়্যার যা কম্পিউটার সিস্টেমকে ক্ষতি করতে পারে, আর র্যানসমওয়্যার একটি ধরনের ম্যালওয়্যার যা ডেটা ব্লক করে এবং মুক্তির জন্য অর্থ দাবি করে।",Hard,
133,ডেটা সুরক্ষা আইন কী?,"এটি একটি আইন যা ব্যক্তিগত ডেটার সংগ্রহ, সংরক্ষণ এবং ব্যবহারের ওপর নিয়ন্ত্রণ আরোপ করে।",Hard,
134,এআই ব্যবহারে 'ভুয়া খবর' শনাক্ত করার পদ্ধতি কী?,এটি মেশিন লার্নিং এবং ন্যাচারাল ল্যাঙ্গুয়েজ প্রসেসিং (NLP) ব্যবহার করে তথ্য বিশ্লেষণ করে।,Hard,
135,ওয়েব 3.0' এর ধারণা কী?,এটি একটি ডিস্ট্রিবিউটেড এবং ডেসেন্ট্রালাইজড ইন্টারনেট ব্যবস্থাপনা যা ব্লকচেইন ভিত্তিক।,Hard,
136,কৃত্রিম বুদ্ধিমত্তায় 'নিউরাল নেটওয়ার্ক' কী?,এটি একটি কৃত্রিম সিস্টেম যা মস্তিষ্কের নিউরনের কাজ অনুকরণ করে তথ্য প্রক্রিয়া করতে সক্ষম।,Hard,
137,ইন্টারনেট সিকিউরিটি অ্যাপ্লিকেশন কীভাবে কাজ করে?,এটি সাইবার আক্রমণ এবং অননুমোদিত অ্যাক্সেস থেকে সিস্টেম এবং ডেটা রক্ষা করে।,Hard,
138,ডাটা মাইনিং-এ ব্যবহৃত অ্যালগরিদমগুলি কী কী?,"ডিসিশন ট্রি, ক্লাস্টারিং, এবং অ্যাসোসিয়েশন রুল মাইনিং।",Hard,
139,ডেটা এনক্রিপশন কীভাবে নিরাপত্তা নিশ্চিত করে?,এটি ডেটাকে এমন একটি ফরম্যাটে রূপান্তরিত করে যা শুধুমাত্র অনুমোদিত ব্যক্তিরা পড়তে পারে।,Hard,
140,ডোমেন নাম সিস্টেম (DNS) কী?,এটি একটি সিস্টেম যা ডোমেন নামগুলি আইপি অ্যাড্রেসে রূপান্তর করে।,Hard,
141,অ্যাডভান্সড মেশিন লার্নিং এর কিছু নতুন প্রবণতা কী?,"ডীপ লার্নিং, ট্রান্সফরমার মডেল, এবং রিইনফোর্সমেন্ট লার্নিং।",Hard,
142,একটি সার্ভার কীভাবে কাজ করে?,এটি একটি কম্পিউটার যা অন্য কম্পিউটারগুলোকে তথ্য এবং সেবা প্রদান করে।,Hard,
143,ডেটা ব্রীচের পরিণতি কী?,"সেনসিটিভ তথ্যের অবৈধ প্রকাশ, আর্থিক ক্ষতি এবং ব্র্যান্ড ক্ষতির কারণ হতে পারে।",Hard,
144,একটি নিরাপদ নেটওয়ার্ক তৈরি করার জন্য কী কী পদক্ষেপ নিতে হবে?,"এটি এনক্রিপশন, ফায়ারওয়াল এবং VPN ব্যবহার করে সুরক্ষা নিশ্চিত করে।",Hard,
145,ডিপ লার্নিং-এর সুবিধা কী?,এটি বড় ডেটা সেট থেকে স্বয়ংক্রিয়ভাবে বৈশিষ্ট্য শিখতে সক্ষম।,Hard,
146,কৃত্রিম বুদ্ধিমত্তার সম্ভাব্য বিপদ কী?,"এটি মানুষের কাজ নিয়ে নেওয়া, নিরাপত্তা ঝুঁকি, এবং ডেটা গোপনীয়তার ক্ষতি করতে পারে।",Hard,
147,এআই' এবং 'এএম' এর মধ্যে পার্থক্য কী?,"এআই মানুষির মতো সিস্টেম তৈরি করে, আর এএম হচ্ছে প্যাটার্ন রেকগনিশন এবং সংকেত বিশ্লেষণের অংশ।",Hard,
148,ডিজিটাল মুদ্রার ভবিষ্যৎ কী?,এটি আর্থিক লেনদেনের নিরাপদ ও দ্রুত মাধ্যম হিসেবে বিশ্বজুড়ে উন্নতি করছে।,Hard,
149,ডেটা প্রাইভেসি রক্ষায় সরকার কী পদক্ষেপ নিতে পারে?,এটি আইন এবং নিয়ন্ত্রক ব্যবস্থা গঠন করে।,Hard,
